id A b c
B38602 528.032498068261 0.253199279408306 0.0291360442482854
B38603 519.897828276685 0.229413191181654 0.02451698614276
B38604 561.757307973476 0.238738083918135 0.309053618150031
B38605 612.771067937346 0.229842915147551 0.472335516150455
B38606 543.720612773417 0.215783825589365 0.0492254477783306
B38607 548.894059152717 0.206357835406036 0.0384315619360183
B38608 578.401065341158 0.202435479301346 0.68034368619462
B38609 481.866079438352 0.265695488748532 0.022361928517884
B38610 584.48438047144 0.207349181274762 0.543315824742131
B38611 480.015068406236 0.280453587378035 0.0176511567110455
B38612 507.956559696284 0.244721380581733 0.0255982539574456
B38613 490.648698082297 0.207664564917643 0.0267379827164007
B38614 522.054381773384 0.229680138660184 0.0274680972190457
B38615 588.555277520827 0.238926385710619 0.239156822096035
B38616 495.309278126519 0.24370888060343 0.0251787917162943
B38617 468.417144226547 0.228498534193604 0.0197789593125084
B38618 528.381666845166 0.211412228141019 0.1065569538326
B38619 567.436667224402 0.209026557882355 0.245115914460678
B38620 518.491862167873 0.201441615921352 0.0341823388938288
B38621 559.433780620209 0.188690362720083 0.037736069631185
B38642 619.897499492854 0.153856610255545 1.24858823260121
B38643 433.970691253796 0.318932181615851 0.0243360500973178
B38644 515.856633773587 0.231766795835668 0.194282046487271
B38645 563.046431455105 0.214900507256844 1.10970635381134
B38646 476.170670325119 0.243941616249107 0.0316038763512387
B38647 557.265100427074 0.233168452627969 0.510058829697699
B38648 509.108540749617 0.182430522195144 0.0453319022406662
B38649 561.121634276622 0.234537761295784 0.478078219057341
B38650 524.417146645269 0.243441649175612 0.097676588724932
B38651 540.867473742935 0.213028867947828 0.0361328447745794
B38652 502.458296229841 0.248013736990446 0.0226828584242813
B38653 524.83207253144 0.215122890785695 0.0238196862173093
B38654 577.734288585987 0.215682137857265 0.263792630334368
B38655 463.43030967645 0.260118637431347 0.0207041536392834
B38656 649.632206051853 0.124447434984286 0.0683353705886144
B38657 562.138174539454 0.223151557867379 0.597399246191637
B38658 454.438260584258 0.314378723732184 0.0183191121831395
B38659 423.588232836664 0.288752365574658 0.022241616890684
B38660 463.564684711031 0.252326627992717 0.025961699767244
B38661 496.714840288085 0.210288276802623 0.0359230317820104
